step,metric,value
40,mean_token_accuracy,0.5197595804929733
40,epoch,0.0855386260358193
41,loss,2.0495
41,grad_norm,0.8210611939430237
41,learning_rate,0.0004561027837259101
41,mean_token_accuracy,0.5271272398531437
41,epoch,0.08767709168671478
42,loss,2.1035
42,grad_norm,0.8825395107269287
42,learning_rate,0.0004550321199143469
42,mean_token_accuracy,0.5178428627550602
42,epoch,0.08981555733761026
43,loss,2.0644
43,grad_norm,0.7912912964820862
43,learning_rate,0.0004539614561027837
43,mean_token_accuracy,0.5260142311453819
43,epoch,0.09195402298850575
44,loss,2.0574
44,grad_norm,0.9018629789352417
44,learning_rate,0.00045289079229122054
44,mean_token_accuracy,0.5309538245201111
44,epoch,0.09409248863940123
45,loss,2.0871
45,grad_norm,0.7451000213623047
45,learning_rate,0.00045182012847965744
45,mean_token_accuracy,0.5250837802886963
45,epoch,0.09623095429029671
46,loss,1.9708
46,grad_norm,0.7383362650871277
46,learning_rate,0.0004507494646680942
46,mean_token_accuracy,0.5442546159029007
46,epoch,0.0983694199411922
47,loss,2.0895
47,grad_norm,0.6880254745483398
47,learning_rate,0.00044967880085653106
47,mean_token_accuracy,0.5142289474606514
47,epoch,0.10050788559208768
48,loss,2.0559
48,grad_norm,0.7477648854255676
48,learning_rate,0.0004486081370449679
48,mean_token_accuracy,0.5255143977701664
48,epoch,0.10264635124298316
49,loss,2.0203
49,grad_norm,1.049163818359375
49,learning_rate,0.0004475374732334047
49,mean_token_accuracy,0.5269758813083172
49,epoch,0.10478481689387864
50,loss,2.089
50,grad_norm,0.8129910826683044
50,learning_rate,0.00044646680942184153
50,mean_token_accuracy,0.5192682147026062
50,epoch,0.10692328254477412
51,loss,2.1036
51,grad_norm,1.2000385522842407
51,learning_rate,0.00044539614561027837
51,mean_token_accuracy,0.522540632635355
51,epoch,0.1090617481956696
52,loss,2.0805
52,grad_norm,0.703387439250946
52,learning_rate,0.00044432548179871526
52,mean_token_accuracy,0.5235500931739807
52,epoch,0.11120021384656509
53,loss,2.0198
53,grad_norm,1.0585055351257324
53,learning_rate,0.00044325481798715205
53,mean_token_accuracy,0.524143572896719
53,epoch,0.11333867949746057
54,loss,2.0635
